  TARGET         IONIZ.       IONIZ.
  DEPTH           by           by
  (Ang)          IONS         RECOILS
-----------  -----------  -----------
  1.00E+07  5.14E-03  2.58E-07
  2.00E+07  5.17E-03  6.46E-07
  3.00E+07  5.20E-03  9.64E-07
  4.00E+07  5.24E-03  2.05E-06
  5.00E+07  5.28E-03  6.73E-07
  6.00E+07  5.31E-03  1.24E-06
  7.00E+07  5.35E-03  1.09E-06
  8.00E+07  5.39E-03  9.43E-07
  9.00E+07  5.44E-03  3.40E-06
  1.00E+08  5.48E-03  8.61E-07
  1.10E+08  5.52E-03  9.27E-07
  1.20E+08  5.57E-03  4.15E-06
  1.30E+08  5.61E-03  1.25E-06
  1.40E+08  5.66E-03  1.09E-06
  1.50E+08  5.71E-03  1.37E-06
  1.60E+08  5.75E-03  2.69E-06
  1.70E+08  5.81E-03  2.75E-06
  1.80E+08  5.86E-03  1.33E-06
  1.90E+08  5.91E-03  1.34E-06
  2.00E+08  5.97E-03  1.18E-06
  2.10E+08  6.03E-03  2.10E-06
  2.20E+08  6.09E-03  1.72E-06
  2.30E+08  6.15E-03  1.07E-06
  2.40E+08  6.21E-03  1.56E-06
  2.50E+08  6.28E-03  1.97E-06
  2.60E+08  6.35E-03  1.52E-06
  2.70E+08  6.42E-03  2.75E-06
  2.80E+08  6.49E-03  1.40E-06
  2.90E+08  6.57E-03  1.18E-06
  3.00E+08  6.65E-03  3.34E-06
  3.10E+08  6.73E-03  1.39E-06
  3.20E+08  6.81E-03  2.90E-06
  3.30E+08  6.90E-03  1.50E-06
  3.40E+08  6.99E-03  2.64E-06
  3.50E+08  7.09E-03  2.16E-06
  3.60E+08  7.19E-03  4.17E-06
  3.70E+08  7.29E-03  1.49E-06
  3.80E+08  7.41E-03  1.61E-06
  3.90E+08  7.52E-03  1.55E-06
  4.00E+08  7.64E-03  1.31E-06
  4.10E+08  7.77E-03  2.20E-06
  4.20E+08  7.91E-03  3.23E-06
  4.30E+08  8.05E-03  2.47E-06
  4.40E+08  8.20E-03  2.75E-06
  4.50E+08  8.36E-03  2.17E-06
  4.60E+08  8.53E-03  3.58E-06
  4.70E+08  8.72E-03  4.76E-06
  4.80E+08  8.91E-03  1.91E-06
  4.90E+08  9.12E-03  1.84E-06
  5.00E+08  9.34E-03  3.30E-06
  5.10E+08  9.58E-03  3.06E-06
  5.20E+08  9.83E-03  2.90E-06
  5.30E+08  1.01E-02  5.18E-06
  5.40E+08  1.04E-02  4.77E-06
  5.50E+08  1.07E-02  4.39E-06
  5.60E+08  1.11E-02  3.81E-06
  5.70E+08  1.14E-02  3.76E-06
  5.80E+08  1.18E-02  4.80E-06
  5.90E+08  1.22E-02  4.75E-06
  6.00E+08  1.26E-02  4.51E-06
  6.10E+08  1.29E-02  6.39E-06
  6.20E+08  1.30E-02  8.06E-06
  6.30E+08  1.29E-02  7.14E-06
  6.40E+08  1.24E-02  1.15E-05
  6.50E+08  1.14E-02  1.27E-05
  6.60E+08  9.79E-03  1.74E-05
  6.70E+08  7.80E-03  2.71E-05
  6.80E+08  5.51E-03  4.86E-05
  6.90E+08  2.78E-03  8.02E-05
  7.00E+08  5.35E-04  3.48E-05
  7.10E+08  1.76E-05  1.86E-06
  7.20E+08  4.21E-08  5.54E-09
  7.30E+08  0.00E+00  0.00E+00
  7.40E+08  0.00E+00  0.00E+00
  7.50E+08  0.00E+00  0.00E+00
  7.60E+08  0.00E+00  0.00E+00
  7.70E+08  0.00E+00  0.00E+00
  7.80E+08  0.00E+00  0.00E+00
  7.90E+08  0.00E+00  0.00E+00
  8.00E+08  0.00E+00  0.00E+00
  8.10E+08  0.00E+00  0.00E+00
  8.20E+08  0.00E+00  0.00E+00
  8.30E+08  0.00E+00  0.00E+00
  8.40E+08  0.00E+00  0.00E+00
  8.50E+08  0.00E+00  0.00E+00
  8.60E+08  0.00E+00  0.00E+00
  8.70E+08  0.00E+00  0.00E+00
  8.80E+08  0.00E+00  0.00E+00
  8.90E+08  0.00E+00  0.00E+00
  9.00E+08  0.00E+00  0.00E+00
  9.10E+08  0.00E+00  0.00E+00
  9.20E+08  0.00E+00  0.00E+00
  9.30E+08  0.00E+00  0.00E+00
  9.40E+08  0.00E+00  0.00E+00
  9.50E+08  0.00E+00  0.00E+00
  9.60E+08  0.00E+00  0.00E+00
  9.70E+08  0.00E+00  0.00E+00
  9.80E+08  0.00E+00  0.00E+00
  9.90E+08  0.00E+00  0.00E+00
  1.00E+09  0.00E+00  0.00E+00
